geom,quantity,mean,std,frac_pos,max_abs,n_samples
C3,R_f,1.494022338496e-08,9.189520419427e-09,9.403697916667e-01,4.284083843231e-08,1152000
C3,R_r,6.516978080812e-09,1.869582465901e-08,5.435000000000e-01,8.754432201385e-08,1152000
C3,R_b,5.011612956293e-09,1.309843980084e-08,4.237144097222e-01,7.636845111847e-08,1152000
C3,Req_r,6.516721485077e-09,1.869380231913e-08,5.382560763889e-01,8.754432201385e-08,1152000
C3,Req_b,5.011902298091e-09,1.309583628508e-08,4.123020833333e-01,7.636845111847e-08,1152000
C3,mom_x,1.311289250023e-12,2.530242037936e-09,3.567057291667e-01,1.117587089539e-08,1152000
C3,mom_y,1.275717901687e-12,2.533811540371e-09,3.569626736111e-01,1.303851604462e-08,1152000
C3,mom_z,1.642749541336e-12,2.522803025289e-09,3.562421875000e-01,9.313225746155e-09,1152000
C3,delta_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C3,dr,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C3,db,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C1,R_f,1.496982425427e-08,9.199178032781e-09,9.407870822483e-01,4.284083843231e-08,1474560
C1,R_r,4.643356444325e-09,8.995359453808e-09,8.036973741319e-01,4.470348358154e-08,1474560
C1,R_b,4.692264016038e-09,9.096633510709e-09,8.024481879340e-01,4.656612873077e-08,1474560
C1,Req_r,4.700918288703e-09,9.023690970086e-09,8.045973036024e-01,4.470348358154e-08,1474560
C1,Req_b,4.748353801502e-09,9.129912983380e-09,8.034159342448e-01,4.656612873077e-08,1474560
C1,mom_x,-1.988256473042e-12,2.515094286808e-09,3.543043348524e-01,9.313225746155e-09,1474560
C1,mom_y,-1.277082143739e-12,2.506139642679e-09,3.538289388021e-01,9.313225746155e-09,1474560
C1,mom_z,9.385480047462e-13,2.509408586090e-09,3.544047037760e-01,9.313225746155e-09,1474560
C1,delta_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
C1,dr,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
C1,db,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
