geom,quantity,mean,std,frac_pos,max_abs,n_samples
C3,R_f,8.673911603789e-11,2.641020567762e-08,4.482473958333e-01,9.685754776001e-08,1152000
C3,R_r,-1.675581812399e-10,6.234869078067e-08,5.180347222222e-01,3.222376108170e-07,1152000
C3,R_b,-5.636617122192e-10,4.352052080712e-08,4.793194444444e-01,3.185123205185e-07,1152000
C3,Req_r,6.482941697981e-09,1.869547849271e-08,5.373628472222e-01,9.313225746155e-08,1152000
C3,Req_b,5.016385923506e-09,1.309252832672e-08,4.140069444444e-01,7.636845111847e-08,1152000
C3,mom_x,-1.483302427611e-08,8.016996442422e-09,2.163888888889e-02,4.284083843231e-08,1152000
C3,mom_y,-1.483018826952e-08,7.728512387501e-09,1.662326388889e-02,4.284083843231e-08,1152000
C3,mom_z,1.646630052063e-11,7.544347596718e-09,4.590642361111e-01,2.048909664154e-08,1152000
C3,delta_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C3,dr,-6.376486605249e-09,6.299488114104e-08,2.488654513889e-01,3.576278686523e-07,1152000
C3,db,-5.068016719670e-09,4.158101742560e-08,3.261979166667e-01,2.980232238770e-07,1152000
C1,R_f,1.649343377923e-10,2.222311780572e-08,4.451199001736e-01,9.499490261078e-08,1474560
C1,R_r,-1.273019273475e-09,6.172314365271e-08,5.660861545139e-01,3.427267074585e-07,1474560
C1,R_b,-1.681908356013e-09,6.260706712772e-08,5.647372775608e-01,3.427267074585e-07,1474560
C1,Req_r,5.823458040489e-09,1.059379134359e-08,8.387010362413e-01,4.842877388000e-08,1474560
C1,Req_b,5.838482878382e-09,1.063010476722e-08,8.385036892361e-01,4.842877388000e-08,1474560
C1,mom_x,-1.482298507148e-08,6.717137821440e-09,8.288574218750e-03,3.539025783539e-08,1474560
C1,mom_y,-1.499383365121e-08,5.672658908603e-09,4.136827256944e-05,3.166496753693e-08,1474560
C1,mom_z,2.602165396739e-12,5.456975351231e-09,4.532199435764e-01,1.303851604462e-08,1474560
C1,delta_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
C1,dr,-6.628476181633e-09,5.894478035485e-08,2.408996582031e-01,3.576278686523e-07,1474560
C1,db,-6.957033536492e-09,5.959504104583e-08,2.414659288194e-01,3.576278686523e-07,1474560
