geom,quantity,mean,std,frac_pos,max_abs,n_samples
C3,R_f,-3.784468087057e-11,2.644763471032e-08,4.464887152778e-01,9.685754776001e-08,1152000
C3,R_r,6.539113990502e-09,1.867882028594e-08,5.433663194444e-01,8.940696716309e-08,1152000
C3,R_b,5.022815919110e-09,1.309388052582e-08,4.252699652778e-01,8.195638656616e-08,1152000
C3,Req_r,6.538974780073e-09,1.867697995208e-08,5.381276041667e-01,8.940696716309e-08,1152000
C3,Req_b,5.022856347859e-09,1.309110800881e-08,4.138559027778e-01,8.195638656616e-08,1152000
C3,mom_x,-1.483405099457e-08,8.015806092444e-09,2.164756944444e-02,4.097819328308e-08,1152000
C3,mom_y,-1.482517432628e-08,7.726961357533e-09,1.659201388889e-02,4.097819328308e-08,1152000
C3,mom_z,1.920852810144e-12,7.544563319954e-09,4.579071180556e-01,2.048909664154e-08,1152000
C3,delta_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C3,dr,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C3,db,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C1,R_f,5.771324948809e-10,2.235476701706e-08,4.520962185330e-01,9.313225746155e-08,1474560
C1,R_r,6.621386858303e-09,1.063312762095e-08,8.603257921007e-01,5.029141902924e-08,1474560
C1,R_b,6.578854623296e-09,1.060631784540e-08,8.594468858507e-01,4.936009645462e-08,1474560
C1,Req_r,6.629030368620e-09,1.062551417422e-08,8.601426866319e-01,4.842877388000e-08,1474560
C1,Req_b,6.582168506922e-09,1.059810945095e-08,8.591193305122e-01,4.842877388000e-08,1474560
C1,mom_x,-1.484702983766e-08,6.713421580602e-09,8.193630642361e-03,3.539025783539e-08,1474560
C1,mom_y,-1.499152833478e-08,5.659250506951e-09,3.119574652778e-05,3.166496753693e-08,1474560
C1,mom_z,-9.676013077195e-12,5.472150115297e-09,4.523206922743e-01,1.303851604462e-08,1474560
C1,delta_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
C1,dr,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
C1,db,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
