geom,quantity,mean,std,frac_pos,max_abs,n_samples
C3,R_f,-3.631511289212e-12,9.194658637521e-09,4.686076388889e-01,2.793967723846e-08,1152000
C3,R_r,6.433167441015e-09,1.870348817079e-08,5.414965277778e-01,8.568167686462e-08,1152000
C3,R_b,5.024267078791e-09,1.309413023895e-08,4.258559027778e-01,8.195638656616e-08,1152000
C3,Req_r,6.432866768967e-09,1.870126573317e-08,5.363489583333e-01,8.568167686462e-08,1152000
C3,Req_b,5.024146853384e-09,1.309106656230e-08,4.145486111111e-01,8.195638656616e-08,1152000
C3,mom_x,2.132664020691e-12,2.528927078513e-09,3.573098958333e-01,1.117587089539e-08,1152000
C3,mom_y,-3.120577376750e-12,2.529413674873e-09,3.555729166667e-01,1.117587089539e-08,1152000
C3,mom_z,1.492379750643e-12,2.521726696126e-09,3.561484375000e-01,9.313225746155e-09,1152000
C3,delta_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C3,dr,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C3,db,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C1,R_f,-3.694190632410e-11,9.194729861577e-09,4.665764702691e-01,2.793967723846e-08,1474560
C1,R_r,4.622234839866e-09,9.018838740914e-09,7.993693033854e-01,4.470348358154e-08,1474560
C1,R_b,4.673812176758e-09,9.053712193542e-09,8.085523817274e-01,4.656612873077e-08,1474560
C1,Req_r,4.679969248673e-09,9.046603564296e-09,7.999498155382e-01,4.470348358154e-08,1474560
C1,Req_b,4.730591171419e-09,9.079447905259e-09,8.095425075955e-01,4.656612873077e-08,1474560
C1,mom_x,-6.581204716996e-13,2.514395603714e-09,3.546983506944e-01,9.313225746155e-09,1474560
C1,mom_y,-7.768600577644e-13,2.508396746401e-09,3.541666666667e-01,9.313225746155e-09,1474560
C1,mom_z,2.718378608632e-12,2.510950605215e-09,3.550530327691e-01,1.117587089539e-08,1474560
C1,delta_f,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
C1,dr,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
C1,db,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
