geom,quantity,mean,std,frac_pos,max_abs,n_samples
C3,R_f,-3.470631781965e-10,7.717858792054e-08,5.208732638889e-01,3.501772880554e-07,1152000
C3,R_r,6.470843293994e-09,1.868965222167e-08,5.416232638889e-01,9.313225746155e-08,1152000
C3,R_b,5.039062757477e-09,1.311500525520e-08,4.253567708333e-01,8.381903171539e-08,1152000
C3,Req_r,6.470271159184e-09,1.868728687078e-08,5.363697916667e-01,9.313225746155e-08,1152000
C3,Req_b,5.038959793713e-09,1.311238257584e-08,4.138585069444e-01,8.381903171539e-08,1152000
C3,mom_x,-1.203928453227e-11,7.999761829529e-09,4.576822916667e-01,2.793967723846e-08,1152000
C3,mom_y,1.171590863831e-11,7.704553361367e-09,4.583020833333e-01,2.793967723846e-08,1152000
C3,mom_z,8.026189688179e-12,7.543951312389e-09,4.588220486111e-01,2.048909664154e-08,1152000
C3,delta_f,-1.486923752560e-08,7.994370694531e-08,1.637343750000e-01,3.576278686523e-07,1152000
C3,dr,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C3,db,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1152000
C1,R_f,-6.330588399174e-10,1.110681249420e-07,5.176337348090e-01,3.948807716370e-07,1474560
C1,R_r,4.609252479878e-09,9.205961337497e-09,7.906846788194e-01,4.656612873077e-08,1474560
C1,R_b,4.627954463876e-09,9.149216885502e-09,7.894456651476e-01,4.470348358154e-08,1474560
C1,Req_r,4.668643199462e-09,9.231786331542e-09,7.913031684028e-01,4.656612873077e-08,1474560
C1,Req_b,4.685544028549e-09,9.174776015375e-09,7.902560763889e-01,4.470348358154e-08,1474560
C1,mom_x,1.478939440050e-11,6.854327109428e-09,4.596828884549e-01,2.048909664154e-08,1474560
C1,mom_y,2.010993840587e-12,5.625134237743e-09,4.583869086372e-01,1.676380634308e-08,1474560
C1,mom_z,5.123486819987e-12,5.630458186558e-09,4.585774739583e-01,1.303851604462e-08,1474560
C1,delta_f,-1.123407855630e-08,1.082622000703e-07,2.673509385851e-01,4.172325134277e-07,1474560
C1,dr,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
C1,db,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1474560
